Vehicle_ID,Brand,Model,Vehicle_Type,Powertrain
V001,Tesla,Model 3,Sedan,BEV
V002,Tesla,Model Y,SUV,BEV
V003,BYD,Atto 3,SUV,BEV
V004,BYD,Seal,Sedan,BEV
V005,Hyundai,Ioniq 5,SUV,BEV
V006,Hyundai,Kona Electric,SUV,BEV
V007,Kia,EV6,SUV,BEV
V008,Tata,Nexon EV,SUV,BEV
V009,MG,ZS EV,SUV,BEV
V010,BMW,i4,Sedan,BEV
V011,Mercedes-Benz,EQA,SUV,BEV
V012,Volkswagen,ID.4,SUV,BEV
V013,Nissan,Leaf,Hatchback,BEV
V014,Renault,Megane E-Tech,Hatchback,BEV
V015,Volvo,EX30,SUV,BEV
V016,Ford,Mustang Mach-E,SUV,BEV
V017,Porsche,Taycan,Sedan,BEV
V018,Toyota,Prius Plug-in,Hatchback,PHEV
V019,Mitsubishi,Outlander PHEV,SUV,PHEV
V020,Kia,Niro PHEV,SUV,PHEV
