Vehicle_ID,Location_ID,Date_ID,Battery_ID,Charging_ID,Units_Sold,Price_USD,Market_Share_pct
V001,L001,D0001,B004,CH004,32,32000,6.58
V001,L002,D0001,B004,CH004,45,41400,6.64
V001,L003,D0001,B004,CH004,36,35300,6.57
V001,L004,D0001,B004,CH004,61,41900,9.17
V001,L005,D0001,B004,CH004,53,43100,7.78
V001,L006,D0001,B004,CH004,43,42100,6.71
V001,L007,D0001,B004,CH004,67,46000,9.07
V001,L008,D0001,B004,CH004,44,45300,6.62
V001,L009,D0001,B004,CH004,57,43300,8.57
V001,L010,D0001,B004,CH004,47,41800,7.51
V002,L001,D0001,B006,CH004,42,34200,8.64
V002,L002,D0001,B006,CH004,51,45800,7.52
V002,L003,D0001,B006,CH004,38,41400,6.93
V002,L004,D0001,B006,CH004,48,52400,7.22
V002,L005,D0001,B006,CH004,61,51700,8.96
V002,L006,D0001,B006,CH004,57,44800,8.89
V002,L007,D0001,B006,CH004,54,52200,7.31
V002,L008,D0001,B006,CH004,47,52200,7.07
V002,L009,D0001,B006,CH004,39,50600,5.86
V002,L010,D0001,B006,CH004,43,45700,6.87
V003,L001,D0001,B003,CH003,34,21000,7.0
V003,L002,D0001,B003,CH003,40,31700,5.9
V003,L003,D0001,B003,CH003,42,25400,7.66
V003,L004,D0001,B003,CH003,35,31200,5.26
V003,L005,D0001,B003,CH003,38,29000,5.58
V003,L006,D0001,B003,CH003,55,28300,8.58
V003,L007,D0001,B003,CH003,48,33400,6.5
V003,L008,D0001,B003,CH003,42,31400,6.32
V003,L009,D0001,B003,CH003,38,31000,5.71
V003,L010,D0001,B003,CH003,43,31000,6.87
V004,L001,D0001,B006,CH004,34,30100,7.0
V004,L002,D0001,B006,CH004,39,39600,5.75
V004,L003,D0001,B006,CH004,48,35100,8.76
V004,L004,D0001,B006,CH004,43,43000,6.47
V004,L005,D0001,B006,CH004,45,44500,6.61
V004,L006,D0001,B006,CH004,39,39400,6.08
V004,L007,D0001,B006,CH004,49,46500,6.63
V004,L008,D0001,B006,CH004,51,43100,7.67
V004,L009,D0001,B006,CH004,50,44100,7.52
V004,L010,D0001,B006,CH004,42,42700,6.71
V005,L001,D0001,B007,CH004,22,34800,4.53
V005,L002,D0001,B007,CH004,49,48900,7.23
V005,L003,D0001,B007,CH004,35,41300,6.39
V005,L004,D0001,B007,CH004,27,51100,4.06
V005,L005,D0001,B007,CH004,51,49300,7.49
V005,L006,D0001,B007,CH004,37,49000,5.77
V005,L007,D0001,B007,CH004,27,52400,3.65
V005,L008,D0001,B007,CH004,28,50500,4.21
V005,L009,D0001,B007,CH004,43,50800,6.47
V005,L010,D0001,B007,CH004,28,46400,4.47
V006,L001,D0001,B003,CH003,26,26500,5.35
V006,L002,D0001,B003,CH003,52,36000,7.67
V006,L003,D0001,B003,CH003,33,27800,6.02
V006,L004,D0001,B003,CH003,46,35200,6.92
V006,L005,D0001,B003,CH003,37,37400,5.43
V006,L006,D0001,B003,CH003,48,32900,7.49
V006,L007,D0001,B003,CH003,47,39700,6.36
V006,L008,D0001,B003,CH003,38,34600,5.71
V006,L009,D0001,B003,CH003,30,34900,4.51
V006,L010,D0001,B003,CH003,42,32600,6.71
V007,L001,D0001,B007,CH004,30,32300,6.17
V007,L002,D0001,B007,CH004,45,43300,6.64
V007,L003,D0001,B007,CH004,27,40000,4.93
V007,L004,D0001,B007,CH004,44,45400,6.62
V007,L005,D0001,B007,CH004,42,46200,6.17
V007,L006,D0001,B007,CH004,33,42900,5.15
V007,L007,D0001,B007,CH004,46,47000,6.22
V007,L008,D0001,B007,CH004,42,47700,6.32
V007,L009,D0001,B007,CH004,41,47700,6.17
V007,L010,D0001,B007,CH004,37,46500,5.91
V008,L001,D0001,B002,CH003,27,14900,5.56
V008,L002,D0001,B002,CH003,36,21400,5.31
V008,L003,D0001,B002,CH003,29,17500,5.29
V008,L004,D0001,B002,CH003,36,22500,5.41
V008,L005,D0001,B002,CH003,31,22900,4.55
V008,L006,D0001,B002,CH003,37,22700,5.77
V008,L007,D0001,B002,CH003,58,24000,7.85
V008,L008,D0001,B002,CH003,44,24200,6.62
V008,L009,D0001,B002,CH003,32,20800,4.81
V008,L010,D0001,B002,CH003,32,20700,5.11
V009,L001,D0001,B003,CH003,21,21100,4.32
V009,L002,D0001,B003,CH003,30,28200,4.42
V009,L003,D0001,B003,CH003,13,25700,2.37
V009,L004,D0001,B003,CH003,35,29100,5.26
V009,L005,D0001,B003,CH003,25,32000,3.67
V009,L006,D0001,B003,CH003,26,28200,4.06
V009,L007,D0001,B003,CH003,28,31000,3.79
V009,L008,D0001,B003,CH003,31,30400,4.66
V009,L009,D0001,B003,CH003,30,30600,4.51
V009,L010,D0001,B003,CH003,28,27800,4.47
V010,L001,D0001,B007,CH004,18,42000,3.7
V010,L002,D0001,B007,CH004,25,59500,3.69
V010,L003,D0001,B007,CH004,18,49500,3.28
V010,L004,D0001,B007,CH004,18,58100,2.71
V010,L005,D0001,B007,CH004,26,58800,3.82
V010,L006,D0001,B007,CH004,26,58000,4.06
V010,L007,D0001,B007,CH004,22,68200,2.98
V010,L008,D0001,B007,CH004,29,59500,4.36
V010,L009,D0001,B007,CH004,30,62000,4.51
V010,L010,D0001,B007,CH004,22,60200,3.51
V011,L001,D0001,B005,CH003,18,38500,3.7
V011,L002,D0001,B005,CH003,25,57900,3.69
V011,L003,D0001,B005,CH003,18,46300,3.28
V011,L004,D0001,B005,CH003,14,56600,2.11
V011,L005,D0001,B005,CH003,17,54700,2.5
V011,L006,D0001,B005,CH003,18,50700,2.81
V011,L007,D0001,B005,CH003,21,58300,2.84
V011,L008,D0001,B005,CH003,17,58900,2.56
V011,L009,D0001,B005,CH003,21,55700,3.16
V011,L010,D0001,B005,CH003,20,52600,3.19
V012,L001,D0001,B006,CH003,21,33600,4.32
V012,L002,D0001,B006,CH003,45,47300,6.64
V012,L003,D0001,B006,CH003,30,36600,5.47
V012,L004,D0001,B006,CH003,24,43700,3.61
V012,L005,D0001,B006,CH003,38,47500,5.58
V012,L006,D0001,B006,CH003,28,44500,4.37
V012,L007,D0001,B006,CH003,35,46800,4.74
V012,L008,D0001,B006,CH003,28,47200,4.21
V012,L009,D0001,B006,CH003,45,42700,6.77
V012,L010,D0001,B006,CH003,36,42700,5.75
V013,L001,D0001,B001,CH002,21,23200,4.32
V013,L002,D0001,B001,CH002,23,31800,3.39
V013,L003,D0001,B001,CH002,31,27600,5.66
V013,L004,D0001,B001,CH002,28,32400,4.21
V013,L005,D0001,B001,CH002,30,31400,4.41
V013,L006,D0001,B001,CH002,19,31200,2.96
V013,L007,D0001,B001,CH002,35,32900,4.74
V013,L008,D0001,B001,CH002,27,34800,4.06
V013,L009,D0001,B001,CH002,29,32000,4.36
V013,L010,D0001,B001,CH002,36,33000,5.75
V014,L001,D0001,B004,CH003,18,29800,3.7
V014,L002,D0001,B004,CH003,33,39300,4.87
V014,L003,D0001,B004,CH003,23,34200,4.2
V014,L004,D0001,B004,CH003,27,40600,4.06
V014,L005,D0001,B004,CH003,26,39000,3.82
V014,L006,D0001,B004,CH003,27,38900,4.21
V014,L007,D0001,B004,CH003,26,41800,3.52
V014,L008,D0001,B004,CH003,30,43300,4.51
V014,L009,D0001,B004,CH003,26,39100,3.91
V014,L010,D0001,B004,CH003,30,40500,4.79
V015,L001,D0001,B002,CH004,22,24400,4.53
V015,L002,D0001,B002,CH004,16,37000,2.36
V015,L003,D0001,B002,CH004,19,30200,3.47
V015,L004,D0001,B002,CH004,30,39000,4.51
V015,L005,D0001,B002,CH004,20,36500,2.94
V015,L006,D0001,B002,CH004,17,36300,2.65
V015,L007,D0001,B002,CH004,18,38800,2.44
V015,L008,D0001,B002,CH004,28,39400,4.21
V015,L009,D0001,B002,CH004,27,37600,4.06
V015,L010,D0001,B002,CH004,18,35900,2.88
V016,L001,D0001,B008,CH004,29,37100,5.97
V016,L002,D0001,B008,CH004,33,49100,4.87
V016,L003,D0001,B008,CH004,27,41200,4.93
V016,L004,D0001,B008,CH004,32,55900,4.81
V016,L005,D0001,B008,CH004,35,50300,5.14
V016,L006,D0001,B008,CH004,30,50500,4.68
V016,L007,D0001,B008,CH004,43,52900,5.82
V016,L008,D0001,B008,CH004,35,52900,5.26
V016,L009,D0001,B008,CH004,33,52600,4.96
V016,L010,D0001,B008,CH004,27,53000,4.31
